,wijk,stadsdeel,code,year,woz-waarde
287,Amstel III/Bullewijk,Zuidoost,T92,2016,
288,"Bijlmer-Centrum (D,F,H)",Zuidoost,T93,2016,121273.0
289,"Bijlmer-Oost (E,G,K)",Zuidoost,T94,2016,148343.0
290,Nellestein,Zuidoost,T95,2016,134903.0
291,Holendrecht/Reigersbos,Zuidoost,T96,2016,147751.0
292,Gein,Zuidoost,T97,2016,165247.0
293,Driemond,Zuidoost,T98,2016,234149.0
294,Burgwallen-Oude Zijde,Centrum,A00,2017,339548.0
295,Burgwallen-Nieuwe Zijde,Centrum,A01,2017,351214.0
296,Grachtengordel-West,Centrum,A02,2017,674610.0
297,Grachtengordel-Zuid,Centrum,A03,2017,627625.0
298,Nieuwmarkt/Lastage,Centrum,A04,2017,386716.0
299,Haarlemmerbuurt,Centrum,A05,2017,403267.0
300,Jordaan,Centrum,A06,2017,347740.0
301,De Weteringschans,Centrum,A07,2017,458010.0
302,Weesperbuurt/Plantage,Centrum,A08,2017,413388.0
303,Oostelijke Eilanden/Kadijken,Centrum,A09,2017,316261.0
304,Westelijk Havengebied,Westpoort,B10,2017,
305,Houthavens,West,E12,2017,349525.0
306,Spaarndammer- en Zeeheldenbuurt,West,E13,2017,256300.0
307,Staatsliedenbuurt,West,E14,2017,277214.0
308,Centrale Markt,West,E15,2017,328441.0
309,Frederik Hendrikbuurt,West,E16,2017,282776.0
310,Da Costabuurt,West,E17,2017,339699.0
311,Kinkerbuurt,West,E18,2017,291110.0
312,Van Lennepbuurt,West,E19,2017,272741.0
313,Helmersbuurt,West,E20,2017,401695.0
314,Overtoomse Sluis,West,E21,2017,344820.0
315,Vondelbuurt,West,E22,2017,754544.0
316,Sloterdijk,West,E36,2017,369842.0
317,Landlust,West,E37,2017,228885.0
318,Erasmuspark,West,E38,2017,233754.0
319,De Kolenkit,West,E39,2017,219773.0
320,Geuzenbuurt,West,E40,2017,272308.0
321,Van Galenbuurt,West,E41,2017,232976.0
322,Hoofdweg eo,West,E42,2017,232847.0
323,Westindische Buurt,West,E43,2017,295618.0
324,Chassébuurt,West,E75,2017,288036.0
325,Bedrijventerrein Sloterdijk,Nieuw-West,F11,2017,
326,Slotermeer-Noordoost,Nieuw-West,F76,2017,157018.0
327,Slotermeer-Zuidwest,Nieuw-West,F77,2017,158871.0
328,Geuzenveld,Nieuw-West,F78,2017,185583.0
329,Eendracht,Nieuw-West,F79,2017,237948.0
330,Lutkemeer/Ookmeer,Nieuw-West,F80,2017,430190.0
331,Osdorp-Oost,Nieuw-West,F81,2017,183051.0
332,Osdorp-Midden,Nieuw-West,F82,2017,197667.0
333,De Punt,Nieuw-West,F83,2017,167009.0
334,Middelveldsche Akerpolder,Nieuw-West,F84,2017,297287.0
335,Slotervaart-Noord,Nieuw-West,F85,2017,220699.0
336,Overtoomse Veld,Nieuw-West,F86,2017,208991.0
337,Westlandgracht,Nieuw-West,F87,2017,218208.0
338,Sloter-/Riekerpolder,Nieuw-West,F88,2017,290169.0
339,Slotervaart-Zuid,Nieuw-West,F89,2017,198941.0
340,Zuidas,Zuid,K23,2017,303047.0
341,Oude Pijp,Zuid,K24,2017,334147.0
342,Nieuwe Pijp,Zuid,K25,2017,305668.0
343,Zuid-Pijp,Zuid,K26,2017,299994.0
344,Hoofddorppleinbuurt,Zuid,K44,2017,308149.0
345,Schinkelbuurt,Zuid,K45,2017,313400.0
346,Willemspark,Zuid,K46,2017,808360.0
347,Museumkwartier,Zuid,K47,2017,755109.0
348,Stadionbuurt,Zuid,K48,2017,345993.0
349,Apollobuurt,Zuid,K49,2017,839342.0
350,Scheldebuurt,Zuid,K52,2017,403802.0
351,IJselbuurt,Zuid,K53,2017,310993.0
352,Rijnbuurt,Zuid,K54,2017,301239.0
353,Prinses Irenebuurt eo,Zuid,K59,2017,625081.0
354,Buitenveldert-West,Zuid,K90,2017,296458.0
355,Buitenveldert-Oost,Zuid,K91,2017,266394.0
356,Weesperzijde,Oost,M27,2017,367507.0
357,Oosterparkbuurt,Oost,M28,2017,296108.0
358,Dapperbuurt,Oost,M29,2017,289299.0
359,Transvaalbuurt,Oost,M30,2017,283449.0
360,Indische Buurt-West,Oost,M31,2017,253664.0
361,Indische Buurt-Oost,Oost,M32,2017,251413.0
362,Oostelijk Havengebied,Oost,M33,2017,377085.0
363,Zeeburgereiland/Nieuwe Diep,Oost,M34,2017,150175.0
